ARTIKEL;SORTE;AUFTRAG;POSITION;KUNDE;WUNSCHLIEFERTERMIN;LIEFERTERMIN;WUNSCHMENGE
15-070-435-01880-076130G0;K 15;25032539;1;C-100;3/27/26;;25000
15-070-435-01860-076130G0;K 15;25032550;1;C-110;3/27/26;;25000
15-070-435-01880-076130G0;K 15;25032552;1;C-110;3/27/26;;25000
15-070-435-01860-076130G0;K 15;25032573;1;C-130;3/27/26;;25000
15-070-435-01800-076130G0;K 15;25032536;1;C-100;3/27/26;;25000
15-070-435-01760-076130G0;K 15;25032572;1;C-130;3/27/26;;25000
15-070-435-01860-076130G0;K 15;25032538;1;C-100;3/27/26;;25000
15-070-435-01840-076130G0;K 15;25032562;1;C-120;3/27/26;;25000
15-070-435-01740-076130G0;K 15;25032549;1;C-110;3/27/26;;5000
15-070-435-01760-076130G0;K 15;25032549;2;C-110;3/27/26;;20000
15-070-435-01720-076130G0;K 15;25032571;2;C-130;3/27/26;;12500
15-070-435-01840-076130G0;K 15;25032537;1;C-100;3/27/26;;25000
15-070-435-01840-076130G0;K 15;25032448;1;C-110;3/26/26 17:00;;25000
15-070-435-01880-076130G0;K 15;25032511;2;C-130;3/26/26;;13000
05-070-420-00650-076150G0;K 05;25032547;1;C-120;3/26/26;;5000
05-070-420-00800-076150G0;K 05;25032547;2;C-120;3/26/26;;20000
05-070-420-01200-076150G0;K 05;25032551;1;C-120;3/26/26;;12500
05-070-420-01100-076150G0;K 05;25032551;2;C-120;3/26/26;;12500
15-070-435-01880-076130G0;K 15;25032570;1;C-130;3/26/26;;25000
05-070-420-00850-076150G0;K 05;25032446;1;C-120;3/26/26;;15000
15-070-435-01800-076130G0;K 15;25032546;1;C-110;3/26/26;;25000
05-070-420-00800-076150G0;K 05;25032446;2;C-120;3/26/26;;10000
15-070-435-01800-076130G0;K 15;25032559;1;C-120;3/26/26;;25000
15-070-435-01860-076130G0;K 15;25032560;1;C-120;3/26/26;;25000
15-070-435-01700-076130G0;K 15;25032511;1;C-130;3/26/26;;12000
15-070-435-01840-076130G0;K 15;25032533;1;C-100;3/26/26;;25000
15-070-435-01890-076130G0;K 15;25032534;1;C-100;3/26/26;;25000
15-070-435-01800-076130G0;K 15;25032362;1;C-130;3/25/26 17:00;;25000
15-070-435-01880-076130G0;K 15;25032531;1;C-100;3/25/26;;25000
15-070-435-01150-076130G0;K 15;25032532;1;C-100;3/25/26;;3000
15-070-435-01680-076130G0;K 15;25032532;2;C-100;3/25/26;;5000
15-070-435-01740-076130G0;K 15;25032532;3;C-100;3/25/26;;10000
15-070-435-01800-076130G0;K 15;25032529;1;C-100;3/25/26;;25000
05-070-420-01100-076150G0;K 05;25032545;1;C-110;3/25/26;;25000
15-070-435-01880-076130G0;K 15;25032557;1;C-120;3/25/26;;25000
15-070-435-01840-076130G0;K 15;25032567;1;C-130;3/25/26;;25000
15-070-435-01880-076130G0;K 15;25032568;1;C-130;3/25/26;;25000
15-070-435-01860-076130G0;K 15;25032530;1;C-100;3/25/26;;25000
15-070-435-01780-076130G0;K 15;25032532;4;C-100;3/25/26;;7000
15-070-435-01700-076130G0;K 15;25032169;1;C-100;3/24/26 17:00;;10000
15-070-435-01840-076130G0;K 15;25032169;2;C-100;3/24/26 17:00;;15000
15-070-435-01860-076130G0;K 15;25032528;1;C-100;3/24/26;;25000
15-070-435-01860-076130G0;K 15;25032566;1;C-130;3/24/26;;25000
15-070-435-01840-076130G0;K 15;25032527;1;C-100;3/24/26;;25000
15-070-435-01880-076130G0;K 15;25032543;1;C-110;3/24/26;;25000
15-070-435-01840-076130G0;K 15;25032556;1;C-120;3/24/26;;25000
05-070-420-00900-076150G0;K 05;25032544;1;C-110;3/23/26 17:00;;25000
